task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
147	68/d67ae4	2359210	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-09 23:43:35.800	40.7s	41s	139.4%	19.5 MB	219.4 MB	8.3 GB	3.6 MB
126	87/f09295	2320140	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-09 23:39:37.076	4m 57s	4m 56s	546.3%	7.8 GB	9.3 GB	19.9 GB	14.5 MB
130	b2/1af05a	2327305	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-09 23:40:00.650	4m 51s	4m 51s	546.4%	8 GB	9.3 GB	20.2 GB	14.5 MB
141	c5/760564	2333140	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-09 23:40:27.731	5m 3s	5m 3s	445.1%	5.3 GB	6.8 GB	42.4 GB	37.5 GB
149	ce/6cf846	2366175	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-09 23:45:30.482	46.9s	47s	140.6%	27 MB	219.4 MB	10.4 GB	4.1 MB
142	cc/856d74	2338292	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-09 23:40:50.131	6m 4s	6m 3s	553.4%	8.3 GB	9.3 GB	27.9 GB	14.6 MB
79	d4/e63dd0	2092729	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (ERR2539158)	COMPLETED	0	2026-06-09 23:20:56.413	40m 47s	40m 46s	815.2%	37.3 GB	40.8 GB	231.8 GB	78.5 GB
84	d5/2e713f	2168325	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (ERR2539101)	COMPLETED	0	2026-06-09 23:26:13.674	37m 25s	37m 25s	786.3%	36.8 GB	39.9 GB	215.2 GB	74.9 GB
150	2a/c8a08b	2381013	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR2539158)	COMPLETED	0	2026-06-10 00:01:43.047	7m 33s	7m 32s	596.1%	5.3 GB	7.6 GB	102.1 GB	92.7 GB
154	c9/2d1389	2403610	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR2539158)	COMPLETED	0	2026-06-10 00:09:15.916	1m 56s	1m 56s	134.2%	95.2 MB	267 MB	26.6 GB	7.4 MB
152	03/88f2dd	2386317	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR2539101)	COMPLETED	0	2026-06-10 00:03:38.690	7m 37s	7m 37s	560.1%	5.3 GB	7.9 GB	94.8 GB	85.1 GB
155	91/b73055	2409272	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR2539101)	COMPLETED	0	2026-06-10 00:11:15.989	1m 44s	1m 44s	138.2%	86.2 MB	257.8 MB	23.9 GB	6.5 MB
156	4a/980640	2412444	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR7411440)	COMPLETED	0	2026-06-10 00:13:00.244	329ms	0ms	37.7%	3 MB	10.5 MB	2.8 MB	9 KB
218	90/117e65	2412486	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (e96d9259-bbe6-461a-9f11-37f985253dea)	COMPLETED	0	2026-06-10 00:13:00.289	352ms	0ms	39.5%	1.5 MB	4.3 MB	4.2 MB	9.1 KB
213	91/f82115	2412593	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-10 00:13:00.306	350ms	0ms	34.8%	2.2 MB	4.3 MB	3.6 MB	9.1 KB
176	4b/5b5e50	2412536	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (2ea4421b-3693-4689-947f-da0c9da8b888)	COMPLETED	0	2026-06-10 00:13:00.299	363ms	0ms	31.8%	10.5 MB	17.3 MB	3.4 MB	9 KB
