task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
56	ee/96f236	3413197	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR8528594)	COMPLETED	0	2026-06-10 07:47:52.086	5m 28s	5m 28s	505.6%	17.8 GB	21.3 GB	20.1 GB	14.3 MB
58	74/cdda8a	3413686	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR14189737)	COMPLETED	0	2026-06-10 07:47:52.118	5m 36s	5m 36s	513.3%	17.8 GB	21.3 GB	20.6 GB	14.4 MB
57	96/8dae2a	3413353	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR11355830)	COMPLETED	0	2026-06-10 07:47:52.105	6m 30s	6m 29s	520.6%	17.8 GB	21.4 GB	20.4 GB	14.4 MB
63	c4/262580	3413145	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (364ef418-4b6a-4a3e-84f9-57ca755e1101)	COMPLETED	0	2026-06-10 07:47:52.075	7m 27s	7m 26s	552.7%	18 GB	21.5 GB	23.3 GB	14.5 MB
76	cf/f343e4	3413263	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (7cb4e820-bf76-406f-a0df-dc6d06b2e935)	COMPLETED	0	2026-06-10 07:47:52.096	7m 32s	7m 31s	553.1%	18.2 GB	21.6 GB	23.5 GB	14.5 MB
73	af/7e3957	3413173	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (a4a420c8-a195-4077-b621-6f8bfa02b39b)	COMPLETED	0	2026-06-10 07:47:52.083	7m 41s	7m 40s	546.4%	17.9 GB	21.5 GB	23.8 GB	14.5 MB
70	ad/0029d0	3413158	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (5ddaa9cb-f3a4-4e7b-8ed7-1d25820ece22)	COMPLETED	0	2026-06-10 07:47:52.079	7m 55s	7m 54s	560.1%	17.9 GB	21.5 GB	24.9 GB	14.5 MB
64	6e/5b7a4d	3413137	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (a71a46bf-206a-4ef4-8878-1451e351a6bf)	COMPLETED	0	2026-06-10 07:47:52.069	7m 56s	7m 56s	540.3%	17.8 GB	21.4 GB	20.9 GB	14.3 MB
62	c2/427106	3469462	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR7411440)	COMPLETED	0	2026-06-10 07:53:16.719	2m 53s	2m 53s	387.4%	17.7 GB	21.2 GB	18.6 GB	14 MB
61	cf/3155e7	3413488	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (cf4f7acf-4ae8-4de8-8c8b-8a8ab9023cbe)	COMPLETED	0	2026-06-10 07:47:52.115	8m 41s	8m 41s	556.8%	17.9 GB	21.4 GB	24.2 GB	14.5 MB
